"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Max Scherzer",12900,"Atl@Was 07:05PM ET",19.425,"Was"
"SP","Corey Kluber",12200,"Cle@TB 07:10PM ET",7.400,"Cle"
"SP","José Fernández",11900,"Mia@NYM 07:10PM ET",25.150,"Mia"
"SP","Carlos Carrasco",11800,"Cle@TB 07:10PM ET",8.450,"Cle"
"SP","Yu Darvish",11700,"Tex@Sea 10:10PM ET",0,"Tex"
"SP","David Price",11700,"Bal@Bos 07:10PM ET",20.875,"Bos"
"SP","Félix Hernández",11500,"Tex@Sea 10:10PM ET",26.025,"Sea"
"SP","Chris Archer",11000,"Cle@TB 07:10PM ET",14.250,"TB"
"SP","Matt Harvey",10900,"Mia@NYM 07:10PM ET",6.725,"NYM"
"SP","Stephen Strasburg",10900,"Atl@Was 07:05PM ET",18.100,"Was"
"SP","Jacob deGrom",10900,"Mia@NYM 07:10PM ET",24.500,"NYM"
"SP","Cole Hamels",10700,"Tex@Sea 10:10PM ET",23.125,"Tex"
"SP","Danny Salazar",10500,"Cle@TB 07:10PM ET",24.400,"Cle"
"SP","Noah Syndergaard",10400,"Mia@NYM 07:10PM ET",33.100,"NYM"
"SP","Masahiro Tanaka",10000,"NYY@Tor 07:07PM ET",13.750,"NYY"
"SP","Drew Smyly",10000,"Cle@TB 07:10PM ET",10.800,"TB"
"SP","James Shields",9600,"SD@Phi 07:05PM ET",11.125,"SD"
"SP","Dallas Keuchel",9500,"KC@Hou 08:10PM ET",18.550,"Hou"
"SP","Tyson Ross",9400,"SD@Phi 07:05PM ET",0.800,"SD"
"SP","Danny Hultzen",9400,"Tex@Sea 10:10PM ET",0,"Sea"
"SP","Hisashi Iwakuma",9400,"Tex@Sea 10:10PM ET",13.675,"Sea"
"SP","Madison Bumgarner",9300,"SF@Col 08:40PM ET",18.975,"SF"
"SP","Sonny Gray",9300,"LAA@Oak 10:05PM ET",19.200,"Oak"
"SP","Jake Odorizzi",9100,"Cle@TB 07:10PM ET",17.625,"TB"
"SP","Garrett Richards",9000,"LAA@Oak 10:05PM ET",15.725,"LAA"
"SP","Taijuan Walker",9000,"Tex@Sea 10:10PM ET",13.300,"Sea"
"SP","Steven Matz",8900,"Mia@NYM 07:10PM ET",-13.050,"NYM"
"SP","Zack Wheeler",8800,"Mia@NYM 07:10PM ET",0,"NYM"
"SP","Clay Buchholz",8700,"Bal@Bos 07:10PM ET",1.600,"Bos"
"SP","Marcus Stroman",8700,"NYY@Tor 07:07PM ET",13.200,"Tor"
"SP","Gio González",8600,"Atl@Was 07:05PM ET",0,"Was"
"SP","Michael Pineda",8600,"NYY@Tor 07:07PM ET",7.850,"NYY"
"SP","Trevor Bauer",8600,"Cle@TB 07:10PM ET",4.475,"Cle"
"SP","Julio Teherán",8500,"Atl@Was 07:05PM ET",7.850,"Atl"
"SP","Yordano Ventura",8500,"KC@Hou 08:10PM ET",14.450,"KC"
